,Title,Author,Published,Link
0,An agent-based approach to engineering design,"Anane, R.",May 2002,https://pureportal.coventry.ac.uk/en/publications/an-agent-based-approach-to-engineering-design-2
0,Data mining and serial documents,"Anane, R.",Aug 2001,https://pureportal.coventry.ac.uk/en/publications/data-mining-and-serial-documents-2
0,HiSQL: A front-end Query System for Historical Databases,"Anane, R.",Nov 1997,https://pureportal.coventry.ac.uk/en/publications/hisql-a-front-end-query-system-for-historical-databases
0,The Scientific Approach of The Indonesian 2013 Curriculum: A Comparison with Other Active Learning Strategies in Mathematics,"Muhammad, R. R.",15 May 2022,https://pureportal.coventry.ac.uk/en/publications/the-scientific-approach-of-the-indonesian-2013-curriculum-a-compa
0,Exploring differential engagement with mathematics support from an engineering student focus,"Gokhool, F.",23 Dec 2021,https://pureportal.coventry.ac.uk/en/publications/exploring-differential-engagement-with-mathematics-support-from-a
0,STEM outreach activities: an approach to teachers' professional development,"Aslam, F.",29 May 2019,https://pureportal.coventry.ac.uk/en/publications/stem-outreach-activities-an-approach-to-teachers-professional-dev-3
0,STEM outreach activities: an approach to teachers’ professional development: STEM outreach activities,"Aslam, F.",10 Jan 2018,https://pureportal.coventry.ac.uk/en/publications/stem-outreach-activities-an-approach-to-teachers-professional-dev
0,Computational characterisation of absorption properties of CdSe nanostructure,"Aslam, F.",15 Mar 2013,https://pureportal.coventry.ac.uk/en/publications/computational-characterisation-of-absorption-properties-of-cdse-n-2
0,Generic constructions of identity-based and certificateless KEMs,"Bentahar, K.",Apr 2008,https://pureportal.coventry.ac.uk/en/publications/generic-constructions-of-identity-based-and-certificateless-kems
0,"Efficient 15,360-bit RSA using woop-optimised montgomery arithmetic","Bentahar, K.",2007,https://pureportal.coventry.ac.uk/en/publications/efficient-15360-bit-rsa-using-woop-optimised-montgomery-arithmeti
0,Lash,"Bentahar, K.",2006,https://pureportal.coventry.ac.uk/en/publications/lash
0,"The equivalence between the DHP and DLP for elliptic curves used in practical applications, revisited","Bentahar, K.",2005,https://pureportal.coventry.ac.uk/en/publications/the-equivalence-between-the-dhp-and-dlp-for-elliptic-curves-used-
0,Gaussian Process Emulation of Spatio-temporal Outputs of a 2D Inland Flood Model,"Donnelly, J.",15 Oct 2022,https://pureportal.coventry.ac.uk/en/publications/gaussian-process-emulation-of-spatio-temporal-outputs-of-a-2d-inl
0,On the impact of prior distributions on efficiency of sparse Gaussian process regression,"Chatrabgoun, O.",26 Jun 2022,https://pureportal.coventry.ac.uk/en/publications/on-the-impact-of-prior-distributions-on-efficiency-of-sparse-gaus
0,Predicting Primary Sequence-Based Protein-Protein Interactions Using a Mercer Series Representation of Nonlinear Support Vector Machine,"Chatrabgoun, O.",1 Dec 2022,https://pureportal.coventry.ac.uk/en/publications/predicting-primary-sequence-based-protein-protein-interactions-us
0,Stable likelihood computation for machine learning of linear differential operators with Gaussian processes,"Chatrabgoun, O.",20 Apr 2022,https://pureportal.coventry.ac.uk/en/publications/stable-likelihood-computation-for-machine-learning-of-linear-diff
0,A low cost and highly accurate technique for big data spatial-temporal interpolation,"Chatrabgoun, O.",1 Jul 2020,https://pureportal.coventry.ac.uk/en/publications/a-low-cost-and-highly-accurate-technique-for-big-data-spatial-tem
0,Constructing gene regulatory networks from microarray data using non-Gaussian pair-copula Bayesian networks,"Chatrabgoun, O.",24 Jul 2020,https://pureportal.coventry.ac.uk/en/publications/constructing-gene-regulatory-networks-from-microarray-data-using-
0,Copula-based probabilistic assessment of intensity and duration of cold episodes: A case study of Malayer vineyard region,"Chatrabgoun, O.",15 Dec 2020,https://pureportal.coventry.ac.uk/en/publications/copula-based-probabilistic-assessment-of-intensity-and-duration-o
0,An efficient method based on RBFs for multilayer data interpolation with application in air pollution data analysis,"Chatrabgoun, O.",1 Oct 2019,https://pureportal.coventry.ac.uk/en/publications/an-efficient-method-based-on-rbfs-for-multilayer-data-interpolati
0,Exact Reliability for a Consecutive Circular k-out-of-r-from-n: F System with Equal and Unequal Component Probabilities,"Chatrabgoun, O.",26 Jul 2019,https://pureportal.coventry.ac.uk/en/publications/exact-reliability-for-a-consecutive-circular-k-out-of-r-from-n-f-
0,Numerical solution of time-dependent stochastic partial differential equations using RBF partition of unity collocation method based on finite difference,"Chatrabgoun, O.",Jul 2019,https://pureportal.coventry.ac.uk/en/publications/numerical-solution-of-time-dependent-stochastic-partial-different
0,Optimizing minimum information pair-copula using genetic algorithm to select optimal basis functions,"Chatrabgoun, O.",7 Feb 2019,https://pureportal.coventry.ac.uk/en/publications/optimizing-minimum-information-pair-copula-using-genetic-algorith
0,The Role of Hilbert–Schmidt SVD basis in Hermite–Birkhoff interpolation in fractional sense,"Chatrabgoun, O.",1 Apr 2019,https://pureportal.coventry.ac.uk/en/publications/the-role-of-hilbertschmidt-svd-basis-in-hermitebirkhoff-interpola
0,Using Low-Rank Approximation In Order To Improve the Efficiency of the Support Vector Machine and Applications,"Chatrabgoun, O.",Oct 2019,https://pureportal.coventry.ac.uk/en/publications/using-low-rank-approximation-in-order-to-improve-the-efficiency-o
0,Approximating non-Gaussian Bayesian networks using minimum information vine model with applications in financial modelling,"Chatrabgoun, O.",Jan 2018,https://pureportal.coventry.ac.uk/en/publications/approximating-non-gaussian-bayesian-networks-using-minimum-inform
0,Discrete Weighted Exponential Distribution of the Second Type: Properties and Applications,"Chatrabgoun, O.",2018,https://pureportal.coventry.ac.uk/en/publications/discrete-weighted-exponential-distribution-of-the-second-type-pro
0,"Effects of morphine on the biomass and development rate of Chrysomya albiceps (Diptera: Calliphoridae), a forensically important species","Chatrabgoun, O.",1 Jun 2018,https://pureportal.coventry.ac.uk/en/publications/effects-of-morphine-on-the-biomass-and-development-rate-of-chryso
0,Evaluation of Insect Succession Patterns and Carcass Weight Loss for the Estimation of Postmortem Interval,"Chatrabgoun, O.",6 Jul 2018,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-insect-succession-patterns-and-carcass-weight-loss-
0,Fractional Hermite Interpolation using RBFs in High Dimensions over irregular domains with application,"Chatrabgoun, O.",15 Dec 2018,https://pureportal.coventry.ac.uk/en/publications/fractional-hermite-interpolation-using-rbfs-in-high-dimensions-ov
0,Toxicological analysis of insects on the corpse: a valuable source of information in forensic investigations,"Chatrabgoun, O.",2018,https://pureportal.coventry.ac.uk/en/publications/toxicological-analysis-of-insects-on-the-corpse-a-valuable-source
0,A Legendre multiwavelets approach to copula density estimation,"Chatrabgoun, O.",Sept 2017,https://pureportal.coventry.ac.uk/en/publications/a-legendre-multiwavelets-approach-to-copula-density-estimation
0,Scattered data fitting of Hermite type by a weighted meshless method,"Chatrabgoun, O.",6 Sept 2017,https://pureportal.coventry.ac.uk/en/publications/scattered-data-fitting-of-hermite-type-by-a-weighted-meshless-met
0,Approximation Multivariate Distribution with Pair Copula Using the Orthonormal Polynomial and Legendre Multiwavelets Basis Functions,"Daneshkhah, A.",2016,https://pureportal.coventry.ac.uk/en/publications/approximation-multivariate-distribution-with-pair-copula-using-th
0,Inference for exponential parameter under progressive Type-II censoring from imprecise lifetime,"Chatrabgoun, O.",26 Apr 2016,https://pureportal.coventry.ac.uk/en/publications/inference-for-exponential-parameter-under-progressive-type-ii-cen
0,"Knowledge, attitude and practice of healthcare workers concerning Crimean-Congo hemorrhagic fever in Western Iran","Chatrabgoun, O.",Jun 2016,https://pureportal.coventry.ac.uk/en/publications/knowledge-attitude-and-practice-of-healthcare-workers-concerning-
0,Probabilistic modeling of flood characterizations with parametric and minimum information pair-copula model,"Daneshkhah, A.",Sept 2016,https://pureportal.coventry.ac.uk/en/publications/probabilistic-modeling-of-flood-characterizations-with-parametric
0,Quality-Gauranteed Traditionally-sensed Areas Selection in Compressive Population Health,"Chen, L.",2021,https://pureportal.coventry.ac.uk/en/publications/quality-gauranteed-traditionally-sensed-areas-selection-in-compre
0,Short-Term Prediction of Demand for Ride-Hailing Services: A Deep Learning Approach,"Chen, L.",Aug 2021,https://pureportal.coventry.ac.uk/en/publications/short-term-prediction-of-demand-for-ride-hailing-services-a-deep-
0,Topic detection and tracking on heterogeneous information,"Chen, L.",Aug 2018,https://pureportal.coventry.ac.uk/en/publications/topic-detection-and-tracking-on-heterogeneous-information
0,Artificial Intelligence for skeleton-based physical rehabilitation action evaluation: A systematic review,"Sardari, S.",May 2023,https://pureportal.coventry.ac.uk/en/publications/artificial-intelligence-for-skeleton-based-physical-rehabilitatio
0,Challenges and prospects of climate change impact assessment on mangrove environments through mathematical models,"Fanous, M.",Apr 2023,https://pureportal.coventry.ac.uk/en/publications/challenges-and-prospects-of-climate-change-impact-assessment-on-m
0,Hydro-morphodynamic modelling of mangroves imposed by tidal waves using finite element discontinuous Galerkin method,"Fanous, M.",28 Mar 2023,https://pureportal.coventry.ac.uk/en/publications/hydro-morphodynamic-modelling-of-mangroves-imposed-by-tidal-waves
0,Measuring local sensitivity in Bayesian inference using a new class of metrics,"Daneshkhah, A.",2023,https://pureportal.coventry.ac.uk/en/publications/measuring-local-sensitivity-in-bayesian-inference-using-a-new-cla
0,Parameters influencing pedestrian injury and severity: A systematic review and meta-analysis,"Shrinivas, V.",Mar 2023,https://pureportal.coventry.ac.uk/en/publications/parameters-influencing-pedestrian-injury-and-severity-a-systemati
0,Stakeholders’ impact on the reuse potential of structural elements at the end-of-life of a building: A machine learning approach,"Daneshkhah, A.",1 Jul 2023,https://pureportal.coventry.ac.uk/en/publications/stakeholders-impact-on-the-reuse-potential-of-structural-elements
0,Assessing Risks in Dairy Supply Chain Systems: A System Dynamics Approach,"Azizsafaei, M.",4 Aug 2022,https://pureportal.coventry.ac.uk/en/publications/assessing-risks-in-dairy-supply-chain-systems-a-system-dynamics-a
0,Comparing the Behaviour of Two Topic-Modelling Algorithms in COVID-19 Vaccination Tweets,"Daneshkhah, A.",Jan 2022,https://pureportal.coventry.ac.uk/en/publications/comparing-the-behaviour-of-two-topic-modelling-algorithms-in-covi
0,Detection of sleep apnea using Machine learning algorithms based on ECG Signals: A comprehensive systematic review,"Daneshkhah, A.",Jan 2022,https://pureportal.coventry.ac.uk/en/publications/detection-of-sleep-apnea-using-machine-learning-algorithms-based-
0,Developing Graph Convolutional Networks and Mutual Information for Arrhythmic Diagnosis Based on Multichannel ECG Signals,"Daneshkhah, A.",28 Aug 2022,https://pureportal.coventry.ac.uk/en/publications/developing-graph-convolutional-networks-and-mutual-information-fo
0,Efficacy of COVID-19 vaccines by race and ethnicity,"Daneshkhah, A.",5 May 2022,https://pureportal.coventry.ac.uk/en/publications/efficacy-of-covid-19-vaccines-by-race-and-ethnicity
0,Examining Type 1 Diabetes Mathematical Models Using Experimental Data,"Daneshkhah, A.",10 Jan 2022,https://pureportal.coventry.ac.uk/en/publications/examining-type-1-diabetes-mathematical-models-using-experimental-
0,Exploring dynamical properties of a Type 1 diabetes model using sensitivity approaches,"Daneshkhah, A.",Nov 2022,https://pureportal.coventry.ac.uk/en/publications/exploring-dynamical-properties-of-a-type-1-diabetes-model-using-s
0,Gaussian Process Emulation of Spatio-temporal Outputs of a 2D Inland Flood Model,"Donnelly, J.",15 Oct 2022,https://pureportal.coventry.ac.uk/en/publications/gaussian-process-emulation-of-spatio-temporal-outputs-of-a-2d-inl
0,Markov Chain Monte Carlo-Based Estimation of Stress–Strength Reliability Parameter for Generalized Linear Failure Rate Distributions,"Daneshkhah, A.",2022,https://pureportal.coventry.ac.uk/en/publications/markov-chain-monte-carlo-based-estimation-of-stressstrength-relia
0,On the impact of prior distributions on efficiency of sparse Gaussian process regression,"Chatrabgoun, O.",26 Jun 2022,https://pureportal.coventry.ac.uk/en/publications/on-the-impact-of-prior-distributions-on-efficiency-of-sparse-gaus
0,Predicting Primary Sequence-Based Protein-Protein Interactions Using a Mercer Series Representation of Nonlinear Support Vector Machine,"Chatrabgoun, O.",1 Dec 2022,https://pureportal.coventry.ac.uk/en/publications/predicting-primary-sequence-based-protein-protein-interactions-us
0,Stable likelihood computation for machine learning of linear differential operators with Gaussian processes,"Chatrabgoun, O.",20 Apr 2022,https://pureportal.coventry.ac.uk/en/publications/stable-likelihood-computation-for-machine-learning-of-linear-diff
0,The performance of various machine learning methods for Parkinson’s disease recognition: a systematic review,"Daneshkhah, A.",27 Feb 2022,https://pureportal.coventry.ac.uk/en/publications/the-performance-of-various-machine-learning-methods-for-parkinson
0,A probabilistic predictive model for assessing the economic reusability of load-bearing building components: Developing a Circular Economy framework,"Daneshkhah, A.",Jul 2021,https://pureportal.coventry.ac.uk/en/publications/a-probabilistic-predictive-model-for-assessing-the-economic-reusa
0,A systematic review and meta-analysis of prevalence of insomnia in the third trimester of pregnancy,"Daneshkhah, A.",9 Apr 2021,https://pureportal.coventry.ac.uk/en/publications/a-systematic-review-and-meta-analysis-of-prevalence-of-insomnia-i
0,Economic Evaluation of Mental Health Effects of Flooding Using Bayesian Networks,"Daneshkhah, A.",13 Jul 2021,https://pureportal.coventry.ac.uk/en/publications/economic-evaluation-of-mental-health-effects-of-flooding-using-ba
0,Generation of Pedestrian Crossing Scenarios Using Ped-Cross Generative Adversarial Network,"Palade, V.",6 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/generation-of-pedestrian-crossing-scenarios-using-ped-cross-gener
0,"Predicting mortality, duration of treatment, pulmonary embolism and required ceiling of ventilatory support for COVID-19 inpatients: A Machine-Learning Approach","Daneshkhah, A.",20 Feb 2021,https://pureportal.coventry.ac.uk/en/publications/predicting-mortality-duration-of-treatment-pulmonary-embolism-and
0,Predicting the technical reusability of load-bearing building components: A probabilistic approach towards developing a Circular Economy framework,"Daneshkhah, A.",1 Oct 2021,https://pureportal.coventry.ac.uk/en/publications/predicting-the-technical-reusability-of-load-bearing-building-com
0,Scenario Optimisation and Sensitivity Analysis for Safe Automated Driving Using Gaussian Processes,"Daneshkhah, A.",15 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/scenario-optimisation-and-sensitivity-analysis-for-safe-automated
0,Topic modelling in precision medicine with its applications in personalized diabetes management,"Daneshkhah, A.",18 Jul 2021,https://pureportal.coventry.ac.uk/en/publications/topic-modelling-in-precision-medicine-with-its-applications-in-pe
0,Using Machine Learning Algorithms to Develop a Clinical Decision-Making Tool for COVID-19 Inpatients,"Daneshkhah, A.",9 Jun 2021,https://pureportal.coventry.ac.uk/en/publications/using-machine-learning-algorithms-to-develop-a-clinical-decision-
0,A low cost and highly accurate technique for big data spatial-temporal interpolation,"Chatrabgoun, O.",1 Jul 2020,https://pureportal.coventry.ac.uk/en/publications/a-low-cost-and-highly-accurate-technique-for-big-data-spatial-tem
0,Behavioural Analytics: A Preventative Means for the Future of Policing,"Daneshkhah, A.",17 Jul 2020,https://pureportal.coventry.ac.uk/en/publications/behavioural-analytics-a-preventative-means-for-the-future-of-poli
0,Classification of a Pedestrian’s Behaviour Using Dual Deep Neural Networks,"Palade, V.",4 Jul 2020,https://pureportal.coventry.ac.uk/en/publications/classification-of-a-pedestrians-behaviour-using-dual-deep-neural-
0,Constructing gene regulatory networks from microarray data using non-Gaussian pair-copula Bayesian networks,"Chatrabgoun, O.",24 Jul 2020,https://pureportal.coventry.ac.uk/en/publications/constructing-gene-regulatory-networks-from-microarray-data-using-
0,Copula-based probabilistic assessment of intensity and duration of cold episodes: A case study of Malayer vineyard region,"Chatrabgoun, O.",15 Dec 2020,https://pureportal.coventry.ac.uk/en/publications/copula-based-probabilistic-assessment-of-intensity-and-duration-o
0,Digital Twin Technologies and Smart Cities,"Daneshkhah, A. (ed.)",2020,https://pureportal.coventry.ac.uk/en/publications/digital-twin-technologies-and-smart-cities
0,Generation of pedestrian pose structures using generative adversarial networks,"Palade, V.",17 Feb 2020,https://pureportal.coventry.ac.uk/en/publications/generation-of-pedestrian-pose-structures-using-generative-adversa
0,On the functional central limit theorem for first passage time of nonlinear semi-Markov reward processes,"Daneshkhah, A.",1 Oct 2020,https://pureportal.coventry.ac.uk/en/publications/on-the-functional-central-limit-theorem-for-first-passage-time-of
0,Some Computational Considerations for Kernel-Based Support Vector Machine,"Daneshkhah, A.",2020,https://pureportal.coventry.ac.uk/en/publications/some-computational-considerations-for-kernel-based-support-vector
0,The impact of physical exercise on the fatigue symptoms in patients with multiple sclerosis: A systematic review and meta-analysis,"Daneshkhah, A.",13 Mar 2020,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-physical-exercise-on-the-fatigue-symptoms-in-patien
0,The prevalence of Restless Legs Syndrome/Willis-ekbom disease (RLS/WED) in the third trimester of pregnancy: a systematic review,"Daneshkhah, A.",13 Apr 2020,https://pureportal.coventry.ac.uk/en/publications/the-prevalence-of-restless-legs-syndromewillis-ekbom-disease-rlsw
0,The prevalence of severe depression in Iranian older adult: a meta-analysis and meta-regression,"Daneshkhah, A.",3 Feb 2020,https://pureportal.coventry.ac.uk/en/publications/the-prevalence-of-severe-depression-in-iranian-older-adult-a-meta
0,The prevalence of sleep disturbances among physicians and nurses facing the COVID-19 patients: a systematic review and meta-analysis,"Daneshkhah, A.",29 Sept 2020,https://pureportal.coventry.ac.uk/en/publications/the-prevalence-of-sleep-disturbances-among-physicians-and-nurses-
0,"The prevalence of stress, anxiety and depression within front-line healthcare workers caring for COVID-19 patients: a systematic review and meta-regression","Daneshkhah, A.",17 Dec 2020,https://pureportal.coventry.ac.uk/en/publications/the-prevalence-of-stress-anxiety-and-depression-within-front-line
0,Mass transpiration in magneto-hydrodynamic boundary layer flow over a superlinear stretching sheet embedded in porous medium with slip,"Daneshkhah, A.",1 Jan 2019,https://pureportal.coventry.ac.uk/en/publications/mass-transpiration-in-magneto-hydrodynamic-boundary-layer-flow-ov
0,Optimizing minimum information pair-copula using genetic algorithm to select optimal basis functions,"Chatrabgoun, O.",7 Feb 2019,https://pureportal.coventry.ac.uk/en/publications/optimizing-minimum-information-pair-copula-using-genetic-algorith
0,Performance Boundary Identification for the Evaluation of Automated Vehicles using Gaussian Process Classification,"Daneshkhah, A.",2019,https://pureportal.coventry.ac.uk/en/publications/performance-boundary-identification-for-the-evaluation-of-automat
0,Approximating non-Gaussian Bayesian networks using minimum information vine model with applications in financial modelling,"Chatrabgoun, O.",Jan 2018,https://pureportal.coventry.ac.uk/en/publications/approximating-non-gaussian-bayesian-networks-using-minimum-inform
0,"Crime Data Mining, Threat Analysis and Prediction","Daneshkhah, A.",2018,https://pureportal.coventry.ac.uk/en/publications/crime-data-mining-threat-analysis-and-prediction
0,Discrete Weighted Exponential Distribution of the Second Type: Properties and Applications,"Chatrabgoun, O.",2018,https://pureportal.coventry.ac.uk/en/publications/discrete-weighted-exponential-distribution-of-the-second-type-pro
0,Early feeding and growth pattern in infants: Using a three-variate longitudinal model derived from Gaussian copula function,"Daneshkhah, A.",2018,https://pureportal.coventry.ac.uk/en/publications/early-feeding-and-growth-pattern-in-infants-using-a-three-variate
0,Probabilistic Modeling of Financial Uncertainties,"Daneshkhah, A.",2018,https://pureportal.coventry.ac.uk/en/publications/probabilistic-modeling-of-financial-uncertainties
0,Efficacy of the 4F Feedback Model: A Game-Based Assessment in University Education,"Lameras, P.",6 Feb 2023,https://pureportal.coventry.ac.uk/en/publications/efficacy-of-the-4f-feedback-model-a-game-based-assessment-in-univ
0,Science teachers’ experiences of inquiry-based learning through a serious game: a phenomenographic perspective,"Lameras, P.",12 May 2021,https://pureportal.coventry.ac.uk/en/publications/science-teachers-experiences-of-inquiry-based-learning-through-a-
0,The EN-Survival Game: An Environmental Game for Residential Accommodation,"Dunwell, I.",8 May 2021,https://pureportal.coventry.ac.uk/en/publications/the-en-survival-game-an-environmental-game-for-residential-accomm
0,A Game for Entrepreneurship Training Supporting Dual-Career Paths,"Dunwell, I.",1 Jan 2020,https://pureportal.coventry.ac.uk/en/publications/a-game-for-entrepreneurship-training-supporting-dual-career-paths
0,Board Games for Health: A Systematic Literature Review and Meta-Analysis,"Bul, K.",8 Apr 2019,https://pureportal.coventry.ac.uk/en/publications/board-games-for-health-a-systematic-literature-review-and-meta-an
0,Reinforcing rational decision making in a risk elicitation task through visual reasoning,"Lameras, P.",2019,https://pureportal.coventry.ac.uk/en/publications/reinforcing-rational-decision-making-in-a-risk-elicitation-task-t
0,Implementing Adaptive Game Difficulty Balancing in Serious Games,"Dunwell, I.",15 Jan 2018,https://pureportal.coventry.ac.uk/en/publications/implementing-adaptive-game-difficulty-balancing-in-serious-games
0,Developing gamified elements to influence positive behavioural change towards organisational energy efficiency,"Dunwell, I.",2017,https://pureportal.coventry.ac.uk/en/publications/developing-gamified-elements-to-influence-positive-behavioural-ch
